Brand,Horsepower in kW,Urban consumption in l/100km,Rural consumption in l/100km,Mixed consumption in l/100km,CO2 in g/km,Weight in kg
PSA GROUP,147.0,11.3,5.8,7.8,182.0,1505
PSA GROUP,125.0,6.6,4.3,5.1,136.0,1565
PSA GROUP,100.0,6.6,4.2,5.1,134.0,1565
PSA GROUP,100.0,6.6,4.2,5.1,134.0,1565
PSA GROUP,125.0,6.9,4.3,5.3,139.0,1565
PSA GROUP,125.0,6.9,4.3,5.3,139.0,1565
PSA GROUP,147.0,11.5,6.0,8.0,186.0,1555
PSA GROUP,125.0,6.7,4.4,5.2,139.0,1615
PSA GROUP,100.0,6.8,4.3,5.2,137.0,1615
PSA GROUP,100.0,6.8,4.3,5.2,137.0,1615
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1615
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1615
PSA GROUP,177.0,9.8,5.0,6.8,157.0,995
PSA GROUP,331.0,24.4,11.6,16.3,379.0,1750
PSA GROUP,331.0,24.4,11.6,16.3,379.0,1750
PSA GROUP,147.0,11.8,6.0,8.1,189.0,1505
PSA GROUP,147.0,11.8,6.0,8.1,189.0,1505
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,125.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,120.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,120.0,7.1,4.4,5.4,142.0,1555
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,88.0,8.4,5.3,6.4,149.0,1355
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.7,4.3,5.2,121.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.6,4.3,5.1,119.0,1380
PSA GROUP,125.0,6.4,4.2,5.0,117.0,1380
PSA GROUP,125.0,6.4,4.2,5.0,117.0,1380
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.8,4.6,5.8,134.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
PSA GROUP,125.0,7.6,4.6,5.7,132.0,1365
