,Horsepower in kW,Urban consumption in l/100km,Rural consumption in l/100km,Mixed consumption in l/100km,Weight in kg,energy
0,147.0,11.3,5.8,7.8,1505,E
1,125.0,6.6,4.3,5.1,1565,B
2,100.0,6.6,4.2,5.1,1565,B
3,100.0,6.6,4.2,5.1,1565,B
4,125.0,6.9,4.3,5.3,1565,B
5,125.0,6.9,4.3,5.3,1565,B
6,147.0,11.5,6.0,8.0,1555,E
7,125.0,6.7,4.4,5.2,1615,B
8,100.0,6.8,4.3,5.2,1615,B
9,100.0,6.8,4.3,5.2,1615,B
10,125.0,7.1,4.4,5.4,1615,B
11,125.0,7.1,4.4,5.4,1615,B
12,177.0,9.8,5.0,6.8,995,G
13,331.0,24.4,11.6,16.3,1750,G
14,331.0,24.4,11.6,16.3,1750,G
15,147.0,11.8,6.0,8.1,1505,F
16,147.0,11.8,6.0,8.1,1505,F
17,125.0,7.1,4.4,5.4,1555,B
18,125.0,7.1,4.4,5.4,1555,B
19,120.0,7.1,4.4,5.4,1555,B
20,120.0,7.1,4.4,5.4,1555,B
21,88.0,8.4,5.3,6.4,1355,D
22,88.0,8.4,5.3,6.4,1355,D
23,88.0,8.4,5.3,6.4,1355,D
24,88.0,8.4,5.3,6.4,1355,D
25,88.0,8.4,5.3,6.4,1355,D
26,88.0,8.4,5.3,6.4,1355,D
27,88.0,8.4,5.3,6.4,1355,D
28,125.0,6.7,4.3,5.2,1380,B
29,125.0,6.7,4.3,5.2,1380,B
30,125.0,6.7,4.3,5.2,1380,B
31,125.0,6.7,4.3,5.2,1380,B
32,125.0,6.7,4.3,5.2,1380,B
33,125.0,6.7,4.3,5.2,1380,B
34,125.0,6.7,4.3,5.2,1380,B
35,125.0,6.7,4.3,5.2,1380,B
36,125.0,6.6,4.3,5.1,1380,B
37,125.0,6.6,4.3,5.1,1380,B
38,125.0,6.6,4.3,5.1,1380,B
39,125.0,6.6,4.3,5.1,1380,B
40,125.0,6.4,4.2,5.0,1380,B
41,125.0,6.4,4.2,5.0,1380,B
42,125.0,7.8,4.6,5.8,1365,C
43,125.0,7.8,4.6,5.8,1365,C
44,125.0,7.8,4.6,5.8,1365,C
45,125.0,7.8,4.6,5.8,1365,C
46,125.0,7.8,4.6,5.8,1365,C
47,125.0,7.8,4.6,5.8,1365,C
48,125.0,7.8,4.6,5.8,1365,C
49,125.0,7.8,4.6,5.8,1365,C
